"Project ID: ",2,"Name: ","PL/SQL Exam Results"
"KEY","FREQUENCY"
85.0000000000,1
89.0000000000,1
90.0000000000,2
91.0000000000,2
92.0000000000,1
93.0000000000,1
95.0000000000,1
96.0000000000,1
97.0000000000,1
98.0000000000,2
99.0000000000,1
100.0000000000,2
"STATISTICS"
"Sum",1,504.0000000000
"N Total",16
"Distinct N",12
"Mean",94.0000000000
"Median",94.0000000000
"Mode 1",90.0000000000
"Mode 2",91.0000000000
"Mode 3",98.0000000000
"Mode 4",100.0000000000
"Lowest",85.0000000000
"Highest",100.0000000000
"Range",15.0000000000
"Variance Population",19.0000000000
"Variance Sample",20.2666666667
"Standard Deviation Population",4.3588989435
"Standard Deviation Sample",4.5018514710
"Interquartile Range",7.2500000000
"Percentile Discrete ( 0.50)",93.0000000000
"Percentile Continuous ( 0.50)",94.0000000000
