"Ord Ref","Order Date","Comm","Customer","Ship Date","Product","Qty"
TEST0063,05/03/2025,E,101,12/03/2025,101863,1
TEST0063,05/03/2025,E,101,12/03/2025,100890,2
TEST0063,05/03/2025,E,101,12/03/2025,101860,3
TEST0063,05/03/2025,E,101,12/03/2025,102130,4
TEST0063,05/03/2025,E,101,12/03/2025,200380,5
TEST0064,05/03/2025,E,101,12/03/2025,101863,1
TEST0064,05/03/2025,E,101,12/03/2025,100890,2
TEST0064,05/03/2025,E,101,12/03/2025,101860,3
TEST0064,05/03/2025,E,101,12/03/2025,102130,4
TEST0065,05/03/2025,E,101,12/03/2025,101863,1
TEST0065,05/03/2025,E,101,12/03/2025,100890,2
TEST0065,05/03/2025,E,101,12/03/2025,101860,3

